id,name,team,position,price,form,ppg,ownership,minutes_pct,ict_index,bonus,xgi_per90,fdr,fixture_ease,status,score
674,Ramsdale,NEW,GK,4.8,0.0,1.6,0.7,0.21944444444444444,10.8,0,0.0,3,3,a,7.8
551,Rigg,SUN,MID,4.7,0.0,1.5,0.0,0.1488095238095238,8.9,0,0.16,3,3,a,7.8
747,Mayers,WHU,DEF,4.0,0.2,1.0,0.0,0.04484126984126984,6.4,0,0.5,3,3,a,7.6
645,Fer López,WOL,MID,5.1,0.0,1.3,0.0,0.09047619047619047,12.4,0,0.3,3,3,u,7.6
607,N.Aguerd,WHU,DEF,4.4,0.0,1.5,0.0,0.07142857142857142,5.1,0,0.07,3,3,u,7.5
758,Mohamadou Kanté,WHU,MID,4.5,0.4,1.0,0.0,0.009126984126984128,2.3,0,0.2,3,3,a,7.5
792,Alysson,AVL,MID,5.0,0.4,1.0,0.0,0.007936507936507936,1.1,0,0.18,3,3,a,7.4
801,Tóth.A,BOU,MID,5.0,0.4,0.8,0.0,0.028174603174603175,3.7,0,0.4,3,3,a,7.4
638,Hoever,WOL,DEF,3.8,0.0,1.2,1.0,0.16785714285714284,20.3,0,0.08,3,3,u,7.3
621,Irving,WHU,MID,4.3,0.0,1.3,0.2,0.06190476190476191,8.6,0,0.1,3,3,u,7.2
25,Nwaneri,ARS,MID,5.0,0.0,1.3,0.1,0.06547619047619048,5.4,0,0.17,3,3,u,7.2
378,Nallo,LIV,DEF,3.7,0.0,0.0,1.1,0.0,0.0,0,0.0,2,4,a,7.1
632,Doherty,WOL,DEF,4.4,0.0,1.2,0.1,0.25555555555555554,18.0,0,0.04,3,3,a,7.1
162,Gruda,BHA,MID,5.4,0.0,1.9,0.0,0.28095238095238095,50.0,2,0.35,4,2,u,7.1
412,Vitor Reis,MCI,DEF,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,4,u,7.0
669,Ndoye,NFO,MID,5.5,0.8,2.3,0.7,0.4376984126984127,54.9,4,0.21,5,1,a,7.0
420,Gündoğan,MCI,MID,6.3,0.0,0.0,0.1,0.0,0.0,0,0.0,2,4,u,7.0
428,Nypan,MCI,MID,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,4,a,7.0
425,Echeverri,MCI,MID,5.4,0.0,0.0,0.0,0.0,0.0,0,0.0,2,4,u,7.0
763,Gray,MCI,MID,4.5,0.0,0.0,0.0,0.0,0.0,0,0.0,2,4,a,7.0
764,Heskey,MCI,MID,4.5,0.0,0.0,0.0,0.0,0.0,0,0.0,2,4,a,7.0
742,McAidoo,MCI,MID,4.5,0.0,0.0,0.0,0.0,0.0,0,0.0,2,4,a,7.0
111,Pinnock,BRE,DEF,4.2,0.0,1.3,0.1,0.09047619047619047,7.6,0,0.02,3,3,a,7.0
740,Mfuni,MCI,DEF,3.9,0.0,0.0,0.0,0.0,0.0,0,0.0,2,4,u,7.0
